POI_name,Average_Rating,Destination_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,Review_Sentiment,Trip_type
16 Avenue Tiled Steps,4.5,San Francisco,640,Points of Interest & Landmarks,16th AVENUE TILED STEPS IS LOCATED IN A RESIDENTIAL NEIGHBORHOOD Public Transportation Greatly Encouraged REMOVE VALUABLES from Car - DAYTIME CAR BURGLARS !!! No Public Restrooms No Tour Buses or Vans Allowed MTA Signage Posted Please Do Not Block...,4.5,"16th Ave Just West Of Grand View Park, San Francisco, CA",,"Hours
Sun
10:00 AM - 5:00 PM
Mon - Sat
9:30 AM - 5:00 PM",Positive,Historic
17-Mile Drive,4.5,Monterey,12462,Scenic Drives,Seals bask on the beach and pelicans perch on rocky cliffs along this famous drive that passes through many popular spots.,4.5,"Pebble Beach and Pacific Grove, Monterey, CA 93953",,,Positive,Relaxed
26-Mile Bike Path,4.5,Santa Monica,1463,"Biking Trails, Scenic Walking Areas
Ocean Park","Starting at the Santa Monica pier, this is a popular path for biking, jogging and in-line skating along the Pacific Ocean.",4.5,"Santa Monica, CA 90403",,,Positive,Adventurous
Abbot Kinney Boulevard,4.403846153846153,Los Angeles,409,Points of Interest & Landmarks,,4.5,"Los Angeles, CA",,,Positive,Historic
Adamm's Stained Glass & Art Glass Gallery,5.0,Santa Monica,6,Art Galleries,"Adamm's represents over 180 of America's best glass artists. We have the largest selection of art glass in Southern California. Here you will find hand-blown vases, sculptures, perfume bottles, paperweights and platters. In addition, we have a...",5.0,"1426 4th St, Santa Monica, CA 90401-2309",,,Positive,Historic
Adventure City,4.5,Anaheim,166,Theme Parks,"Adventure City is the little theme park that's big on family fun! Admission for a family of four is less than a ticket to a big park so you can enjoy all of our 17 rides, shows and attractions for one affordable price! Experience thrills on one of...",4.5,"1238 S Beach Blvd (between Ball and Cerritos), Anaheim, CA 92804-4828",Suggested Duration:More than 3 hours,,Positive,Adventurous
Adventure Mountain,4.0,Lake Tahoe,74,Ski & Snowboard Areas,"Adventure Mountain is a sledding, tubing, and snow play resort on HWY 50 at Echo Summit near Lake Tahoe.",4.0,"21200 Hwy 50, South Lake Tahoe, CA",,,Positive,Adventurous
Agua Caliente Indian Canyons,4.5,Palm Springs,529,Canyons,"Considered sacred to the Cahuilla Indians and of historical importance to scientists and nature lovers, these canyons provide a range of outdoor recreational activities for visitors.",4.5,"E Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92264-1642",,"Hours
Sun - Sat
8:00 AM - 5:00 PM",Positive,Relaxed
Airport Park,5.0,Santa Monica,1,Parks,4 acres; Off-leash dog area (license required) with separate small and large dog areas; Playground; Synthetic turf sports field with lights; 17 picnic tables with 6 BBQ grills (reservable area includes 6 picnic tables and 2 BBQ grills); 0.6-mile...,5.0,"3201 Airport Ave, Santa Monica, CA 90405-6114",Suggested Duration:1-2 hours,,Positive,Relaxed
Alameda Park,4.0,Santa Barbara,42,Parks,,4.0,"1400 Santa Barbara Street, Santa Barbara, CA",,,Positive,Relaxed
Alcatraz Island,4.5,San Francisco,55320,"Historic Sites, National Parks","Park rangers conduct tours by recounting the prison's thrilling history along with intriguing anecdotes about Al Capone and other legendary figures that made a ""home"" here.",4.5,"Pier 33, San Francisco, CA 94123",,,Positive,Historic
Alice Keck Park Memorial Gardens,4.0,Santa Barbara,80,Parks,,4.0,"1600 Santa Barbara St, Santa Barbara, CA 93101-1912",,,Positive,Relaxed
Anaheim Convention Center,4.5,Anaheim,968,Conference & Convention Centers,,4.5,"800 W Katella Ave, Anaheim, CA 92802-3496",,,Positive,Activities
Anaheim Packing District,4.5,Anaheim,868,Points of Interest & Landmarks,,4.5,"440 S Anaheim Blvd Corner of Santa Ana Blvd & Anaheim Blvd, Anaheim, CA 92805-7714",,,Positive,Historic
Andretti Winery,4.5,Napa,257,Wineries & Vineyards,,4.5,"4162 Big Ranch Rd, Napa, CA 94558-1405",,,Positive,Relaxed
Angel Island State Park,4.5,San Francisco,978,State Parks,"The largest island in San Francisco Bay features magnificent views of Marin County and San Francisco, while offering a wide variety of recreation for outdoor enthusiasts.",4.5,"Pier 41, San Francisco, CA 94109",Suggested Duration:More than 3 hours,"Hours
Mon - Fri
10:00 AM - 3:00 PM
Sat - Sun
10:00 AM - 4:00 PM",Positive,Relaxed
